Term,Description
SMEGMA,"A foul-smelling accumulation of SEBUM and desquaminated epidermal cells, especially the cheesy substance found under the foreskin of the penis and at the base of the labia minor near the clitoris.
    "
SMELL,"The ability to detect scents or odors, such as the function of OLFACTORY RECEPTOR NEURONS.
    "
SMILING,"A facial expression which may denote feelings of pleasure, affection, amusement, etc.
    "
SMOG,"A mixture of smoke and fog polluting the atmosphere. (Dorland, 27th ed)
    "
SMOKE,"Visible gaseous suspension of carbon and other particulate matter emitted from burning substances.
    "
SMOKING,"Willful or deliberate act of inhaling and exhaling SMOKE from burning substances or agents held by hand.
    "
SNAILS,"Marine, freshwater, or terrestrial mollusks of the class Gastropoda. Most have an enclosing spiral shell, and several genera harbor parasites pathogenic to man.
    "
SNAKES,"Limbless REPTILES of the suborder Serpentes.
    "
SNEEZING,"The sudden, forceful, involuntary expulsion of air from the NOSE and MOUTH caused by irritation to the MUCOUS MEMBRANES of the upper RESPIRATORY TRACT.
    "
SNORING,"Rough, noisy breathing during sleep, due to vibration of the uvula and soft palate.
    "
SNOW,"Frozen water crystals that fall from the ATMOSPHERE.
    "
BLIZZARD,"Weather event lasting 3 hours or more, with sustained winds or frequent wind gusts 35 mph or higher, and visibility frequently below 1/4 mile. There is falling snow amd blowing snow or may be blowing snow alone.
    "
SOAPS,"Sodium or potassium salts of long chain fatty acids. These detergent substances are obtained by boiling natural oils or fats with caustic alkali. Sodium soaps are harder and are used as topical anti-infectives and vehicles in pills and liniments; potassium soaps are soft, used as vehicles for ointments and also as topical antimicrobials.
    "
SOCCER,"A game in which a round inflated ball is advanced by kicking or propelling with any part of the body except the hands or arms. The object of the game is to place the ball in opposite goals.
    "
SOCIALITY,"The tendency to associate in or form social groups.
    "
REGULATION,"Exercise of the authority to restrict or supervise a practice or the conduct of a facility or organization. (AN: not to be used for gene regulation or any biological practices)
    "
ACCOUNTABILITY,"Responsibility for explaining or justifying one's conduct to the public or to one's superiors. (Bioethics Thesaurus)
    "
COMMUNITARIANISM,"A movement in social thought that emphasizes the responsibilities of the individual within the larger community.
    "
SOCIALISM,"A system of government in which means of production and distribution of goods are controlled by the state.
    "
SOCIALIZATION,"The training or molding of an individual through various relationships, educational agencies, and social controls, which enables him to become a member of a particular society.
    "
SOCIETIES,"Organizations composed of members with common interests and whose professions may be similar.
    "
SOCIOLOGY,"A social science dealing with group relationships, patterns of collective behavior, and social organization.
    "
SODIUM,"A member of the alkali group of metals. It has the atomic symbol Na, atomic number 11, and atomic weight 23.
    "
SOFTWARE,"Sequential operating programs and data which instruct the functioning of a digital computer.
    "
SOIL,"The unconsolidated mineral or organic matter on the surface of the earth that serves as a natural medium for the growth of land plants.
    "
PEAT,"Decomposing SPHAGNUM.
    "
HUMUS,"Decomposed organic matter. It consists of numerous breakdown substances from plants including SUGARS; AMINO ACIDS; LIGNIN; FATS; and HUMIC SUBSTANCES.
    "
SOLANINE,"A mixture of alpha-chaconine and alpha-solanine, found in SOLANACEAE plants.
    "
SOLUBILITY,"The ability of a substance to be dissolved, i.e. to form a solution with another substance. (From McGraw-Hill Dictionary of Scientific and Technical Terms, 6th ed)
    "
SOLUTIONS,"The homogeneous mixtures formed by the mixing of a solid, liquid, or gaseous substance (solute) with a liquid (the solvent), from which the dissolved substances can be recovered by physical processes. (From Grant & Hackh's Chemical Dictionary, 5th ed)
    "
SOLVENTS,"Liquids that dissolve other substances (solutes), generally solids, without any change in chemical composition, as, water containing sugar. (Grant & Hackh's Chemical Dictionary, 5th ed)
    "
SOMALIA,"Somalia is located on the east coast of Africa on and north of the Equator and, with Ethiopia, Eritrea, Djibouti, and Kenya, is often referred to as the Horn of Africa. It comprises Italy's former Trust Territory of Somalia and the former British Protectorate of Somaliland. The capital is Mogadishu.
    "
SOMAN,"An organophosphorus compound that inhibits cholinesterase. It causes seizures and has been used as a chemical warfare agent.
    "
SOMATOMEDINS,"Insulin-like polypeptides made by the liver and some fibroblasts and released into the blood when stimulated by SOMATOTROPIN. They cause sulfate incorporation into collagen, RNA, and DNA synthesis, which are prerequisites to cell division and growth of the organism.
    "
SOMATOSTATIN,"A 14-amino acid peptide named for its ability to inhibit pituitary GROWTH HORMONE release, also called somatotropin release-inhibiting factor. It is expressed in the central and peripheral nervous systems, the gut, and other organs. SRIF can also inhibit the release of THYROID-STIMULATING HORMONE; PROLACTIN; INSULIN; and GLUCAGON besides acting as a neurotransmitter and neuromodulator. In a number of species including humans, there is an additional form of somatostatin, SRIF-28 with a 14-amino acid extension at the N-terminal.
    "
SOMATOSTATINOMA,"A SOMATOSTATIN-secreting tumor derived from the pancreatic delta cells (SOMATOSTATIN-SECRETING CELLS). It is also found in the INTESTINE. Somatostatinomas are associated with DIABETES MELLITUS; CHOLELITHIASIS; STEATORRHEA; and HYPOCHLORHYDRIA. The majority of somatostatinomas have the potential for METASTASIS.
    "
SOMATOTYPES,"Body builds determined on the basis of certain physical characteristics of body shape and BODY COMPOSITION. A somatotyping appraisal is a composite rating of the three basic body types: ectomorph (thin physique), endomorph (rounded physique), and mesomorph (athletic physique).
    "
SOMNAMBULISM,"A parasomnia characterized by a partial arousal that occurs during stage IV of non-REM sleep. Affected individuals exhibit semipurposeful behaviors such as ambulation and are difficult to fully awaken. Children are primarily affected, with a peak age range of 4-6 years.
    "
SONICATION,"The application of high intensity ultrasound to liquids.
    "
SORBITOL,"A polyhydric alcohol with about half the sweetness of sucrose. Sorbitol occurs naturally and is also produced synthetically from glucose. It was formerly used as a diuretic and may still be used as a laxative and in irrigating solutions for some surgical procedures. It is also used in many manufacturing processes, as a pharmaceutical aid, and in several research applications.
    "
SORBOSE,"A ketose sugar that is commonly used in the commercial synthesis of ASCORBIC ACID.
    "
SOTALOL,"An adrenergic beta-antagonist that is used in the treatment of life-threatening arrhythmias.
    "
SOUND,"A type of non-ionizing radiation in which energy is transmitted through solid, liquid, or gas as compression waves. Sound (acoustic or sonic) radiation with frequencies above the audible range is classified as ultrasonic. Sound radiation below the audible range is classified as infrasonic.
    "
SPAIN,"Country located between France on the northeast and Portugal on the west and bordered by the Atlantic Ocean and the Mediterranean Sea. The capital is Madrid.
    "
SPARGANOSIS,"Infection of animals, including fish and man, with a developmental stage of Diphyllobothrium. This stage has recently been referred to as a plerocercoid but the name sparganum has persisted. Therefore, infection of fish or other animals with the plerocercoid larvae is sparganosis. Fish-eating mammals, including man, are the final hosts.
    "
SPARGANUM,"The larval form of the diphyllobothriid tapeworms of the genus DIPHYLLOBOTHRIUM and SPIROMETRA. Fish-eating mammals and man are the final hosts.
    "
SPARSOMYCIN,"An antitumor antibiotic produced by Streptomyces sparsogenes. It inhibits protein synthesis in 70S and 80S ribosomal systems.
    "
SPARTEINE,"A quinolizidine alkaloid isolated from several FABACEAE including LUPINUS; SPARTIUM; and CYTISUS. It has been used as an oxytocic and an anti-arrhythmia agent. It has also been of interest as an indicator of CYP2D6 genotype.
    "
SPASM,"An involuntary contraction of a muscle or group of muscles. Spasms may involve SKELETAL MUSCLE or SMOOTH MUSCLE.
    "
SPECIALIZATION,"An occupation limited in scope to a subsection of a broader field.
    "
SPECIALISM,"The limitation of practice or study to a particular branch of medicine, dentistry, or other health profession. It is philosophically distinct from the generalist theory in which familiarity with a wide cross-section of the particular discipline is advocated.
    "
SPECTRIN,"A high molecular weight (220-250 kDa) water-soluble protein which can be extracted from erythrocyte ghosts in low ionic strength buffers. The protein contains no lipids or carbohydrates, is the predominant species of peripheral erythrocyte membrane proteins, and exists as a fibrous coating on the inner, cytoplasmic surface of the membrane.
    "
SPECTROPHOTOMETRY,"The art or process of comparing photometrically the relative intensities of the light in different parts of the spectrum.
    "
SPECTROSCOPY,"The study of electromagnetic spectra arising from either emission or absorption of radiant energy by various substances. (from McGraw-Hill Dictionary of Scientific and Technical Terms, 6th ed)
    "
SPECTROMETRY,"The use of spectrographic techniques for deriving the physical constants of materials. (McGraw-Hill Dictionary of Scientific and Technical Terms, 6th ed)
    "
SPEECH,"Communication through a system of conventional vocal symbols.
    "
SPERMATIDS,"Male germ cells derived from the haploid secondary SPERMATOCYTES. Without further division, spermatids undergo structural changes and give rise to SPERMATOZOA.
    "
SPERMATOCELE,"A cystic dilation of the EPIDIDYMIS, usually in the head portion (caput epididymis). The cyst fluid contains dead SPERMATOZOA and can be easily differentiated from TESTICULAR HYDROCELE and other testicular lesions.
    "
SPERMATOCYTES,"Male germ cells derived from SPERMATOGONIA. The euploid primary spermatocytes undergo MEIOSIS and give rise to the haploid secondary spermatocytes which in turn give rise to SPERMATIDS.
    "
SPERMATOGENESIS,"The process of germ cell development in the male from the primordial germ cells, through SPERMATOGONIA; SPERMATOCYTES; SPERMATIDS; to the mature haploid SPERMATOZOA.
    "
SPERMATOCYTOGENESIS,"The process of male germ cell development in which the euploid SPERMATOGONIA give rise to SPERMATOCYTES and then the haploid SPERMATIDS by MITOSIS and MEIOSIS.
    "
SPERMIOGENESIS,"The process of male germ cell development in which the haploid SPERMATIDS give rise to SPERMATOZOA by metamorphosis.
    "
SPERMATOGONIA,"Euploid male germ cells of an early stage of SPERMATOGENESIS, derived from prespermatogonia. With the onset of puberty, spermatogonia at the basement membrane of the seminiferous tubule proliferate by mitotic then meiotic divisions and give rise to the haploid SPERMATOCYTES.
    "
SPERMATOZOA,"Mature male germ cells derived from SPERMATIDS. As spermatids move toward the lumen of the SEMINIFEROUS TUBULES, they undergo extensive structural changes including the loss of cytoplasm, condensation of CHROMATIN into the SPERM HEAD, formation of the ACROSOME cap, the SPERM MIDPIECE and the SPERM TAIL that provides motility.
    "
SPERMIDINE,"A polyamine formed from putrescine. It is found in almost all tissues in association with nucleic acids. It is found as a cation at all pH values, and is thought to help stabilize some membranes and nucleic acid structures. It is a precursor of spermine.
    "
SPERMINE,"A biogenic polyamine formed from spermidine. It is found in a wide variety of organisms and tissues and is an essential growth factor in some bacteria. It is found as a polycation at all pH values. Spermine is associated with nucleic acids, particularly in viruses, and is thought to stabilize the helical structure.
    "
XYLARIALES,"An order of ascomycetous FUNGI which includes many economically important plant parasites as well as saprophytes.
    "
SPHEROCYTES,"Small, abnormal spherical red blood cells with more than the normal amount of hemoglobin.
    "
SPHEROPLASTS,"Cells, usually bacteria or yeast, which have partially lost their cell wall, lost their characteristic shape and become round.
    "
SPHINGOLIPIDOSES,"A group of inherited metabolic disorders characterized by the intralysosomal accumulation of SPHINGOLIPIDS primarily in the CENTRAL NERVOUS SYSTEM and to a variable degree in the visceral organs. They are classified by the enzyme defect in the degradation pathway and the substrate accumulation (or storage). Clinical features vary in subtypes but neurodegeneration is a common sign.
    "
SPHINGOLIPIDS,"A class of membrane lipids that have a polar head and two nonpolar tails. They are composed of one molecule of the long-chain amino alcohol sphingosine (4-sphingenine) or one of its derivatives, one molecule of a long-chain acid, a polar head alcohol and sometimes phosphoric acid in diester linkage at the polar head group. (Lehninger et al, Principles of Biochemistry, 2nd ed)
    "
SPHINGOMYELINS,"A class of sphingolipids found largely in the brain and other nervous tissue. They contain phosphocholine or phosphoethanolamine as their polar head group so therefore are the only sphingolipids classified as PHOSPHOLIPIDS.
    "
SPHINGOSINE,"An amino alcohol with a long unsaturated hydrocarbon chain. Sphingosine and its derivative sphinganine are the major bases of the sphingolipids in mammals. (Dorland, 28th ed)
    "
SPIDERS,"Arthropods of the class ARACHNIDA, order Araneae. Except for mites and ticks, spiders constitute the largest order of arachnids, with approximately 37,000 species having been described. The majority of spiders are harmless, although some species can be regarded as moderately harmful since their bites can lead to quite severe local symptoms. (From Barnes, Invertebrate Zoology, 5th ed, p508; Smith, Insects and Other Arthropods of Medical Importance, 1973, pp424-430)
    "
SPINE,"The spinal or vertebral column.
    "
SPIPERONE,"A spiro butyrophenone analog similar to HALOPERIDOL and other related compounds. It has been recommended in the treatment of SCHIZOPHRENIA.
    "
SPIRILLUM,"A genus of gram-negative, curved and spiral-shaped bacteria found in stagnant, freshwater environments. These organisms are motile by bipolar tufts of flagella having a long wavelength and about one helical turn. Some species of Spirillum cause a form of RAT-BITE FEVER.
    "
SPIRITUALISM,"Religious philosophy expressing the fundamental belief that departed spirits may be contacted by the living through a medium.
    "
SPIROCHAETA,"A genus of flexible, spiral rods found in hydrogen sulfide-containing mud, sewage, and polluted water. None of the species properly referred to in this genus are pathogenic.
    "
SPIROCHAETACEAE,"A family of spiral bacteria of the order SPIROCHAETALES.
    "
SPIROCHAETALES,"An order of slender, flexuous, helically coiled bacteria, with one or more complete turns in the helix.
    "
SPIROMETRA,"A genus of tapeworms of the family Diphyllobothriidae, which are parasites of fish-eating cats, dogs, and birds. Infection in man is caused by eating undercooked fish. The larval form is called SPARGANUM.
    "
SPIROMETRY,"Measurement of volume of air inhaled or exhaled by the lung.
    "
SPIRONOLACTONE,"A potassium sparing diuretic that acts by antagonism of aldosterone in the distal renal tubules. It is used mainly in the treatment of refractory edema in patients with congestive heart failure, nephrotic syndrome, or hepatic cirrhosis. Its effects on the endocrine system are utilized in the treatments of hirsutism and acne but they can lead to adverse effects. (From Martindale, The Extra Pharmacopoeia, 30th ed, p827)
    "
SPIROPLASMA,"A genus of gram-negative, helical bacteria, in the family SPIROPLASMATACEAE, order Entomoplasmatales, causing disease in PLANTS. It has been isolated from TICKS; INSECTS; and PLANTS.
    "
SPIROSTANS,"Cholestane derivatives containing a fused lactone ring at the 16,17-position and a spiroglycosidic linkage at C-22. Members include sarsaponin, DIOSGENIN and yamogenin.
    "
SPIRUROIDEA,"A superfamily of parasitic nematodes which requires one or two intermediate arthropod hosts before finally being eaten by the final host. Its organisms occur rarely in man.
    "
SPLEEN,"An encapsulated lymphatic organ through which venous blood filters.
    "
SPLENECTOMY,"Surgical procedure involving either partial or entire removal of the spleen.
    "
SPLENOMEGALY,"Enlargement of the spleen.
    "
SPLINTS,"Rigid or flexible appliances that are used to maintain a displaced or movable part in position, or to maintain the position of and protect an injured part.
    "
SPONDYLITIS,"Inflammation of the SPINE. This includes both arthritic and non-arthritic conditions.
    "
SPONDYLOLISTHESIS,"Forward displacement of a superior vertebral body over the vertebral body below.
    "
SPONDYLOLYSIS,"Deficient development or degeneration of a portion of the VERTEBRA, usually in the pars interarticularis (the bone bridge between the superior and inferior facet joints of the LUMBAR VERTEBRAE) leading to SPONDYLOLISTHESIS.
    "
SPORES,"The reproductive elements of lower organisms, such as BACTERIA; FUNGI; and cryptogamic plants.
    "
SPORIDESMINS,"A group of related mycotoxins produced by the pasture fungus Pithomyces chartarum (formerly Sporidesmium bakeri); causes liver damage and facial eczema in cattle and sheep.
    "
SPOROTRICHOSIS,"The commonest and least serious of the deep mycoses, characterized by nodular lesions of the cutaneous and subcutaneous tissues. It is caused by inhalation of contaminated dust or by infection of a wound with SPOROTHRIX.
    "
SPOROTHRIX,"A mitosporic Ophiostomataceae fungal genus, whose species Sporothrix schenckii is a well-known animal pathogen. The conidia of this soil fungus may be inhaled causing a primary lung infection, or may infect independently via skin punctures.
    "
SPORTS,"Activities or games, usually involving physical effort or skill. Reasons for engagement in sports include pleasure, competition, and/or financial reward.
    "
SPUTUM,"Material coughed up from the lungs and expectorated via the mouth. It contains MUCUS, cellular debris, and microorganisms. It may also contain blood or pus.
    "
SQUALENE,"A natural 30-carbon triterpene.
    "
STACHYBOTRYS,"A mitosporic fungal genus including one species which forms a toxin in moldy hay that may cause a serious illness in horses.
    "
STAINING,"The use of a dye, reagent, or other material for producing coloration or contrast in biological materials for examination or observation.
    "
DIHYDROTESTOSTERONE,"A potent androgenic metabolite of TESTOSTERONE. It is produced by the action of the enzyme 3-OXO-5-ALPHA-STEROID 4-DEHYDROGENASE.
    "
STANOZOLOL,"A synthetic steroid that has anabolic and androgenic properties. (From Martindale, The Extra Pharmacopoeia, 30th ed, p1194)
    "
STAPEDIUS,"A tiny muscle that arises from the posterior wall of the TYMPANIC CAVITY of MIDDLE EAR with its tendon inserted onto the neck of the STAPES. Stapedius pulls the stapes posteriorly and controls its movement.
    "
STAPES,"One of the three ossicles of the middle ear. It transmits sound vibrations from the INCUS to the internal ear (Ear, Internal see LABYRINTH).
    "
STAPHYLOCOCCUS,"A genus of gram-positive, facultatively anaerobic, coccoid bacteria. Its organisms occur singly, in pairs, and in tetrads and characteristically divide in more than one plane to form irregular clusters. Natural populations of Staphylococcus are found on the skin and mucous membranes of warm-blooded animals. Some species are opportunistic pathogens of humans and animals.
    "
STARCH,"Any of a group of polysaccharides of the general formula (C6-H10-O5)n, composed of a long-chain polymer of glucose in the form of amylose and amylopectin. It is the chief storage form of energy reserve (carbohydrates) in plants.
    "
KEOFLO,"starch
    "
STARFISH,"Echinoderms having bodies of usually five radially disposed arms coalescing at the center.
    "
STARVATION,"Lengthy and continuous deprivation of food. (Stedman, 25th ed)
    "
STEAM,"Water in its gaseous state. (From McGraw-Hill Dictionary of Scientific and Technical Terms, 6th ed)
    "
STEARATES,"Salts and esters of the 18-carbon saturated, monocarboxylic acid--stearic acid.
    "
STEATITIS,"A disease of cats and mink characterized by a marked inflammation of adipose tissue and the deposition of ceroid pigment in the interstices of the adipose cells. It is believed to be caused by feeding diets containing too much unsaturated fatty acid and too little vitamin E. (Merck Veterinary Manual, 5th ed; Stedman, 25th ed)
    "
STEEL,"A tough, malleable, iron-based alloy containing up to, but no more than, two percent carbon and often other metals. It is used in medicine and dentistry in implants and instrumentation.
    "
STEREOGNOSIS,"Perception of shape and form of objects by TOUCH and KINESTHESIS, via tactile stimuli.
    "
STEREOISOMERISM,"The phenomenon whereby compounds whose molecules have the same number and kind of atoms and the same atomic arrangement, but differ in their spatial relationships. (From McGraw-Hill Dictionary of Scientific and Technical Terms, 5th ed)
    "
STEREOTYPING,"An oversimplified perception or conception especially of persons, social groups, etc.
    "
STERIGMATOCYSTIN,"A carcinogenic mycotoxin produced in high yields by strains of the common molds, Aspergillus versicolor, A. nidulans, and an unidentified species of Bipolaris. It causes necrosis of the liver and kidney and has an inhibitory effect on orotic acid incorporation into nuclear RNA.
    "
STERILIZATION,"The destroying of all forms of life, especially microorganisms, by heat, chemical, or other means.
    "
STERNUM,"A long, narrow, and flat bone commonly known as BREASTBONE occurring in the midsection of the anterior thoracic segment or chest region, which stabilizes the rib cage and serves as the point of origin for several muscles that move the arms, head, and neck.
    "
STEROIDS,"A group of polycyclic compounds closely related biochemically to TERPENES. They include cholesterol, numerous hormones, precursors of certain vitamins, bile acids, alcohols (STEROLS), and certain natural drugs and poisons. Steroids have a common nucleus, a fused, reduced 17-carbon atom ring system, cyclopentanoperhydrophenanthrene. Most steroids also have two methyl groups and an aliphatic side-chain attached to the nucleus. (From Hawley's Condensed Chemical Dictionary, 11th ed)
    "
STEROLS,"Steroids with a hydroxyl group at C-3 and most of the skeleton of cholestane. Additional carbon atoms may be present in the side chain. (IUPAC Steroid Nomenclature, 1987)
    "
STIFLE,"In horses, cattle, and other quadrupeds, the joint between the femur and the tibia, corresponding to the human knee.
    "
STILBAMIDINES,"STILBENES with AMIDINES attached.
    "
STILBENES,"Organic compounds that contain 1,2-diphenylethylene as a functional group.
    "
STOMACH,"An organ of digestion situated in the left upper quadrant of the abdomen between the termination of the ESOPHAGUS and the beginning of the DUODENUM.
    "
STOMATITIS,"INFLAMMATION of the soft tissues of the MOUTH, such as MUCOSA; PALATE; GINGIVA; and LIP.
    "
STRABISMUS,"Misalignment of the visual axes of the eyes. In comitant strabismus the degree of ocular misalignment does not vary with the direction of gaze. In noncomitant strabismus the degree of misalignment varies depending on direction of gaze or which eye is fixating on the target. (Miller, Walsh & Hoyt's Clinical Neuro-Ophthalmology, 4th ed, p641)
    "
STREPTOBACILLUS,"A genus of gram-negative, facultatively anaerobic, rod-shaped bacteria that require SERUM; ASCITIC FLUID; or BLOOD for growth. Its organisms inhabit the THROAT; and NASOPHARYNX of wild and laboratory rats and cause one form of RAT-BITE FEVER in man.
    "
STREPTOCOCCACEAE,"A family of gram-positive non-sporing bacteria including many parasitic, pathogenic, and saprophytic forms.
    "
STREPTOCOCCUS,"A genus of gram-positive, coccoid bacteria whose organisms occur in pairs or chains. No endospores are produced. Many species exist as commensals or parasites on man or animals with some being highly pathogenic. A few species are saprophytes and occur in the natural environment.
    "
STREPTOKINASE,"Streptococcal fibrinolysin . An enzyme produced by hemolytic streptococci. It hydrolyzes amide linkages and serves as an activator of plasminogen. It is used in thrombolytic therapy and is used also in mixtures with streptodornase (STREPTODORNASE AND STREPTOKINASE). EC 3.4.-.
    "
STREPTOLYSINS,"Exotoxins produced by certain strains of streptococci, particularly those of group A (STREPTOCOCCUS PYOGENES), that cause HEMOLYSIS.
    "
STREPTOMYCES,"A genus of bacteria that form a nonfragmented aerial mycelium. Many species have been identified with some being pathogenic. This genus is responsible for producing a majority of the ANTI-BACTERIAL AGENTS of practical value.
    "
STREPTOMYCETACEAE,"A family of soil bacteria. It also includes some parasitic forms.
    "
STREPTOMYCIN,"An antibiotic produced by the soil actinomycete Streptomyces griseus. It acts by inhibiting the initiation and elongation processes during protein synthesis.
    "
STREPTONIGRIN,"Complex cytotoxic antibiotic obtained from Streptomyces flocculus or S. rufochronmogenus. It is used in advanced carcinoma and causes leukopenia.
    "
STREPTOTHRICINS,"A group of antibiotic aminoglycosides differing only in the number of repeating residues in the peptide side chain. They are produced by Streptomyces and Actinomyces and may have broad spectrum antimicrobial and some antiviral properties.
    "
STREPTOVARICIN,"A complex of ansamycin antibiotics consisting of streptovaricins A, B, C, D, E, F, G, J, and K of which streptovaricin C is the major component. (From Merck Index, 11th ed)
    "
STREPTOZOCIN,"An antibiotic that is produced by Stretomyces achromogenes. It is used as an antineoplastic agent and to induce diabetes in experimental animals.
    "
STRONGYLOIDEA,"A superfamily of strongyles or roundworms which are parasites in the intestinal tract of equines, pigs, rodents, and primates (including man). It includes the genera Cyasthostomum, Ransomus, Globocephalus, OESOPHAGOSTOMUM, and STRONGYLUS.
    "
STRONGYLOIDES,"A genus of parasitic nematodes widely distributed as intestinal parasites of mammals.
    "
STRONGYLOIDIASIS,"Infection with nematodes of the genus STRONGYLOIDES. The presence of larvae may produce pneumonitis and the presence of adult worms in the intestine could lead to moderate to severe diarrhea.
    "
STRONGYLUS,"A genus of intestinal parasitic nematodes occurring in animals and man.
    "
STRONTIUM,"An element of the alkaline earth family of metals. It has the atomic symbol Sr, atomic number 38, and atomic weight 87.62.
    "
STROPHANTHIDIN,"3 beta,5,14-Trihydroxy-19-oxo-5 beta-card-20(22)-enolide. The aglycone cardioactive agent isolated from Strophanthus Kombe, S. gratus and other species; it is a very toxic material formerly used as digitalis. Synonyms: Apocymarin; Corchorin; Cynotoxin; Corchorgenin.
    "
STROPHANTHINS,"A number of different cardioactive glycosides obtained from Strophanthus species. OUABAIN is from S. gratus and CYMARINE from S. kombe. They are used like the digitalis glycosides.
    "
STRYCHNINE,"An alkaloid found in the seeds of STRYCHNOS NUX-VOMICA. It is a competitive antagonist at glycine receptors and thus a convulsant. It has been used as an analeptic, in the treatment of nonketotic hyperglycinemia and sleep apnea, and as a rat poison.
    "
STUDENTS,"Individuals enrolled in a school or formal educational program.
    "
STUTTERING,"A disturbance in the normal fluency and time patterning of speech that is inappropriate for the individual's age. This disturbance is characterized by frequent repetitions or prolongations of sounds or syllables. Various other types of speech dysfluencies may also be involved including interjections, broken words, audible or silent blocking, circumlocutions, words produced with an excess of physical tension, and monosyllabic whole word repetitions. Stuttering may occur as a developmental condition in childhood or as an acquired disorder which may be associated with BRAIN INFARCTIONS and other BRAIN DISEASES. (From DSM-IV, 1994)
    "
STYRENES,"Derivatives and polymers of styrene. They are used in the manufacturing of synthetic rubber, plastics, and resins. Some of the polymers form the skeletal structures for ion exchange resin beads.
    "
SUBTILISINS,"A family of SERINE ENDOPEPTIDASES isolated from Bacillus subtilis. EC 3.4.21.-
    "
SUCCINATES,"Derivatives of SUCCINIC ACID. Included under this heading are a broad variety of acid forms, salts, esters, and amides that contain a 1,4-carboxy terminated aliphatic structure.
    "
SUCCINIMIDES,"A subclass of IMIDES with the general structure of pyrrolidinedione. They are prepared by the distillation of ammonium succinate. They are sweet-tasting compounds that are used as chemical intermediates and plant growth stimulants.
    "
SUCCINYLCHOLINE,"A quaternary skeletal muscle relaxant usually used in the form of its bromide, chloride, or iodide. It is a depolarizing relaxant, acting in about 30 seconds and with a duration of effect averaging three to five minutes. Succinylcholine is used in surgical, anesthetic, and other procedures in which a brief period of muscle relaxation is called for.
    "
SUCRALFATE,"A basic aluminum complex of sulfated sucrose.
    "
SUCRASE,"Digestive enzyme secreted in the INTESTINES. It catalyzes hydrolysis of SUCROSE to FRUCTOSE and GLUCOSE.
    "
SUCROSE,"A nonreducing disaccharide composed of GLUCOSE and FRUCTOSE linked via their anomeric carbons. It is obtained commercially from SUGARCANE, sugar beet (BETA VULGARIS), and other plants and used extensively as a food and a sweetener.
    "
SUCTION,"The removal of secretions, gas or fluid from hollow or tubular organs or cavities by means of a tube and a device that acts on negative pressure.
    "
SUDAN,"A country in northeastern Africa. The capital is Khartoum.
    "
SUGGESTION,"The uncritical acceptance of an idea or plan of action.
    "
SUICIDE,"The act of killing oneself.
    "
PARASUICIDE,"A form of self-harm in which someone mimics the act of suicide without the intent to kill themselves.
    "
SULBACTAM,"A beta-lactamase inhibitor with very weak antibacterial action. The compound prevents antibiotic destruction of beta-lactam antibiotics by inhibiting beta-lactamases, thus extending their spectrum activity. Combinations of sulbactam with beta-lactam antibiotics have been used successfully for the therapy of infections caused by organisms resistant to the antibiotic alone.
    "
SULBENICILLIN,"Semisynthetic penicillin-type antibiotic.
    "
SULFACETAMIDE,"An anti-bacterial agent that is used topically to treat skin infections and orally for urinary tract infections.
    "
SULFACHLORPYRIDAZINE,"A sulfonamide antimicrobial used for urinary tract infections and in veterinary medicine.
    "
SULFADIAZINE,"One of the short-acting SULFONAMIDES used in combination with PYRIMETHAMINE to treat toxoplasmosis in patients with acquired immunodeficiency syndrome and in newborns with congenital infections.
    "
SULFADIMETHOXINE,"A sulfanilamide that is used as an anti-infective agent.
    "
SULFADOXINE,"A long acting sulfonamide that is used, usually in combination with other drugs, for respiratory, urinary tract, and malarial infections.
    "
SULFAGUANIDINE,"A sulfanilamide antimicrobial agent that is used to treat enteric infections.
    "
SULFALENE,"Long-acting plasma-bound sulfonamide used for respiratory and urinary tract infections and also for malaria.
    "
SULFAMERAZINE,"A sulfanilamide that is used as an antibacterial agent.
    "
SULFAMETER,"Long acting sulfonamide used in leprosy, urinary, and respiratory tract infections.
    "
SULFAMETHAZINE,"A sulfanilamide anti-infective agent. It has a spectrum of antimicrobial action similar to other sulfonamides.
    "
SULFAMETHIZOLE,"A sulfathiazole antibacterial agent.
    "
SULFAMETHOXAZOLE,"A bacteriostatic antibacterial agent that interferes with folic acid synthesis in susceptible bacteria. Its broad spectrum of activity has been limited by the development of resistance. (From Martindale, The Extra Pharmacopoeia, 30th ed, p208)
    "
SULFAMETHOXYPYRIDAZINE,"A sulfanilamide antibacterial agent.
    "
SULFAMONOMETHOXINE,"Long acting sulfonamide antibacterial agent.
    "
SULFAMOXOLE,"A sulfanilamide antibacterial agent.
    "
SULFANILAMIDES,"Compounds based on 4-aminobenzenesulfonamide. The '-anil-' part of the name refers to aniline.
    "
SULFAPHENAZOLE,"A sulfonilamide anti-infective agent.
    "
SULFAPYRIDINE,"Antibacterial, potentially toxic, used to treat certain skin diseases.
    "
SULFAQUINOXALINE,"An antiprotozoal agent used to combat coccidial infections of swine, cattle, fowl, and other veterinary animals. Also used in controlling outbreaks of fowl typhoid and fowl cholera and in treatment of infectious enteritis.
    "
SULFATASES,"A class of enzymes that catalyze the hydrolysis of sulfate ESTERS.
    "
SULFATES,"Inorganic salts of sulfuric acid.
    "
